hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.792612, 1.22273E-007, 0.792612, 1.22273E-007, 0.792612, 1.22273E-007, 0, 0
2, 0.00000, 1.58929, -3.34436E-005, 1.58929, -3.34436E-005, 1.58929, -3.34436E-005, 0, 0
3, 0.00000, 2.38756, -6.63251E-005, 2.38756, -6.63251E-005, 2.38756, -6.63251E-005, 0, 0
4, 0.00000, 3.18746, 6.41212E-006, 3.18746, 6.41212E-006, 3.18746, 6.41212E-006, 0, 0
5, 0.00000, 3.9885, 1.50112E-005, 3.9885, 1.50112E-005, 3.9885, 1.50112E-005, 0, 0
6, 0.00000, 4.79121, 2.86841E-005, 4.79121, 2.86841E-005, 4.79121, 2.86841E-005, 0, 0
7, 0.00000, 5.59559, 4.84739E-005, 5.59559, 4.84739E-005, 5.59559, 4.84739E-005, 0, 0
8, 0.00000, 6.40164, 7.5392E-005, 6.40164, 7.5392E-005, 6.40164, 7.5392E-005, 0, 0
9, 0.00000, 6.66598, -7.95034E-005, 6.66598, -7.95034E-005, 6.66598, -7.95034E-005, 0, 0
10, 0.00000, 0.744918, -1.09554E-007, 0.744918, -1.09554E-007, 0.744918, -1.09554E-007, 0, 0
11, 0.00000, 6.62804, 0.000637557, 6.62804, 0.000637557, 6.62804, 0.000637557, 0, 0
12, 0.00000, 5.75657, -5.70021E-005, 5.75657, -5.70021E-005, 5.75657, -5.70021E-005, 0, 0
13, 0.00000, 4.80722, -3.38616E-005, 4.80722, -3.38616E-005, 4.80722, -3.38616E-005, 0, 0
14, 0.00000, 4.11678, -1.43209E-005, 4.11678, -1.43209E-005, 4.11678, -1.43209E-005, 0, 0
15, 0.00000, 3.50806, 8.44795E-005, 3.50806, 8.44795E-005, 3.50806, 8.44795E-005, 0, 0
16, 0.00000, 2.99568, 5.7918E-005, 2.99568, 5.7918E-005, 2.99568, 5.7918E-005, 0, 0
17, 0.00000, 2.29197, 5.42397E-005, 2.29197, 5.42397E-005, 2.29197, 5.42397E-005, 0, 0
18, 0.00000, 1.55749, 2.92338E-005, 1.55749, 2.92338E-005, 1.55749, 2.92338E-005, 0, 0
19, 0.00000, 0.792589, 7.55697E-007, 0.792589, 7.55697E-007, 0.792589, 7.55697E-007, 0, 0
20, 0.00000, 6.66715, 0.000648638, 6.66715, 0.000648638, 6.66715, 0.000648638, 0, 0
21, 0.00000, 6.40221, 7.72884E-005, 6.40221, 7.72884E-005, 6.40221, 7.72884E-005, 0, 0
22, 0.00000, 5.5955, -4.80673E-005, 5.5955, -4.80673E-005, 5.5955, -4.80673E-005, 0, 0
23, 0.00000, 4.79115, -2.83921E-005, 4.79115, -2.83921E-005, 4.79115, -2.83921E-005, 0, 0
24, 0.00000, 3.98846, -1.48366E-005, 3.98846, -1.48366E-005, 3.98846, -1.48366E-005, 0, 0
