hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 228.096, 0.534194, 228.096, -119.466, 228.096, 120.534, 0, 0, 3.47491, 0.534185, 3.47491, -119.466, 3.47491, 120.534, 6.7828E-010, -119.446
2, 0.00000, 228.719, 0.877553, 228.719, -119.122, 228.719, 120.878, 0, 0, 6.94866, 0.878758, 6.94866, -119.121, 6.94866, 120.879, 1.35679E-009, -119.105
3, 0.00000, 229.332, 1.21976, 229.332, -118.78, 229.332, 121.22, 0, 0, 10.4109, 1.22135, 10.4109, -118.779, 10.4109, 121.221, 2.03299E-009, -118.756
4, 0.00000, 229.936, 1.56088, 229.936, -118.439, 229.936, 121.561, 0, 0, 13.8624, 1.56077, 13.8624, -118.439, 13.8624, 121.561, 2.70694E-009, -118.422
5, 0.00000, 230.529, 1.90083, 230.529, -118.099, 230.529, 121.901, 0, 0, 17.3015, 1.90062, 17.3015, -118.099, 17.3015, 121.901, 3.37859E-009, -118.085
6, 0.00000, 231.112, 2.23987, 231.112, -117.76, 231.112, 122.24, 0, 0, 20.7311, 2.23953, 20.7311, -117.76, 20.7311, 122.24, 4.04869E-009, -117.758
7, 0.00000, 231.686, 2.57806, 231.686, -117.422, 231.686, 122.578, 0, 0, 24.1516, 2.57757, 24.1516, -117.422, 24.1516, 122.578, 4.71754E-009, -117.432
8, 0.00000, 232.25, 2.91547, 232.25, -117.085, 232.25, 122.915, 0, 0, 27.5635, 2.91479, 27.5635, -117.085, 27.5635, 122.915, 5.385E-009, -117.108
9, 0.00000, 232.433, 3.02583, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6792, 3.02652, 28.6792, -116.973, 28.6792, 123.027, 5.60334E-009, -116.996
10, 0.00000, 228.058, 0.513582, 228.058, -119.486, 228.058, 120.514, 0, 0, 3.26636, 0.513591, 3.26636, -119.486, 3.26636, 120.514, 6.37801E-010, -119.476
11, 0.00000, 232.408, 3.00987, 232.408, -116.99, 232.408, 123.01, 0, 0, 28.519, 3.00436, 28.519, -116.996, 28.519, 123.004, 5.57209E-009, -117.025
12, 0.00000, 231.799, 2.64559, 231.799, -117.354, 231.799, 122.646, 0, 0, 24.8343, 2.64616, 24.8343, -117.354, 24.8343, 122.646, 4.85113E-009, -117.363
13, 0.00000, 231.123, 2.24663, 231.123, -117.753, 231.123, 122.247, 0, 0, 20.7994, 2.24703, 20.7994, -117.753, 20.7994, 122.247, 4.06246E-009, -117.752
14, 0.00000, 230.623, 1.95513, 230.623, -118.045, 230.623, 121.955, 0, 0, 17.8507, 1.95533, 17.8507, -118.045, 17.8507, 121.955, 3.48603E-009, -118.035
15, 0.00000, 230.174, 1.69712, 230.174, -118.303, 230.174, 121.697, 0, 0, 15.2409, 1.69574, 15.2409, -118.304, 15.2409, 121.696, 2.97609E-009, -118.296
16, 0.00000, 229.792, 1.47923, 229.792, -118.521, 229.792, 121.479, 0, 0, 13.0365, 1.47812, 13.0365, -118.522, 13.0365, 121.478, 2.54561E-009, -118.508
17, 0.00000, 229.26, 1.17883, 229.26, -118.821, 229.26, 121.179, 0, 0, 9.99725, 1.17747, 9.99725, -118.823, 9.99725, 121.177, 1.95197E-009, -118.813
18, 0.00000, 228.695, 0.863848, 228.695, -119.136, 228.695, 120.864, 0, 0, 6.81034, 0.862773, 6.81034, -119.137, 6.81034, 120.863, 1.32963E-009, -119.123
19, 0.00000, 228.096, 0.534176, 228.096, -119.466, 228.096, 120.534, 0, 0, 3.47481, 0.534121, 3.47481, -119.466, 3.47481, 120.534, 6.78336E-010, -119.454
20, 0.00000, 232.435, 3.02618, 232.435, -116.974, 232.435, 123.026, 0, 0, 28.684, 3.02061, 28.684, -116.979, 28.684, 123.021, 5.60421E-009, -117.008
21, 0.00000, 232.251, 2.9157, 232.251, -117.084, 232.251, 122.916, 0, 0, 27.566, 2.91501, 27.566, -117.085, 27.566, 122.915, 5.38546E-009, -117.113
22, 0.00000, 231.686, 2.57805, 231.686, -117.422, 231.686, 122.578, 0, 0, 24.1513, 2.57854, 24.1513, -117.421, 24.1513, 122.579, 4.71753E-009, -117.431
23, 0.00000, 231.112, 2.23986, 231.112, -117.76, 231.112, 122.24, 0, 0, 20.7309, 2.2402, 20.7309, -117.76, 20.7309, 122.24, 4.04879E-009, -117.757
24, 0.00000, 230.529, 1.90082, 230.529, -118.099, 230.529, 121.901, 0, 0, 17.3014, 1.90104, 17.3014, -118.099, 17.3014, 121.901, 3.37865E-009, -118.087
