hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 232.433, 3.02615, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6825, 3.02618, 28.6825, -116.974, 28.6825, 123.026, 5.60466E-009, -116.996
2, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.604E-009, -117.003
3, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.604E-009, -117.002
4, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.005
5, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
6, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
7, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
8, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
9, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
10, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
11, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
12, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
13, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
14, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
15, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
16, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
17, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
18, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
19, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
20, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
21, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
22, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
23, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
24, 0.00000, 232.433, 3.0261, 232.433, -116.974, 232.433, 123.026, 0, 0, 28.6821, 3.0261, 28.6821, -116.974, 28.6821, 123.026, 5.60395E-009, -117.002
